"","gene_id","gene_biotype.x","gene_name"
"410","ENSG00000283464","IG_V_pseudogene",NA
"411","ENSG00000283562","IG_V_pseudogene","IGHVIII-44"
"412","ENSG00000283607","IG_V_pseudogene","IGHVII-30-21"
"413","ENSG00000283906","IG_V_pseudogene","IGHV4-80"
"414","ENSG00000283948","IG_V_pseudogene","IGHVIII-16-1"
"415","ENSG00000082929","lncRNA","LINC01587"
"416","ENSG00000083622","lncRNA",NA
"417","ENSG00000093100","lncRNA",NA
"418","ENSG00000099869","lncRNA","IGF2-AS"
"419","ENSG00000103472","lncRNA","RRN3P2"
"420","ENSG00000105501","lncRNA",NA
"421","ENSG00000115934","lncRNA",NA
"422","ENSG00000116652","lncRNA","DLEU2L"
"423","ENSG00000117242","lncRNA","PINK1-AS"
"424","ENSG00000120664","lncRNA","SPART-AS1"
"425","ENSG00000122043","lncRNA","LINC00544"
"426","ENSG00000122548","lncRNA","KIAA0087"
"427","ENSG00000124835","lncRNA",NA
"428","ENSG00000124915","lncRNA","MYRF-AS1"
"429","ENSG00000125462","lncRNA","MIR9-1HG"
"430","ENSG00000125514","lncRNA","LINC00029"
"431","ENSG00000125804","lncRNA","FAM182A"
"432","ENSG00000125899","lncRNA","LINC02871"
"433","ENSG00000128254","lncRNA","YWHAH-AS1"
"434","ENSG00000129816","lncRNA","TTTY1B"
"435","ENSG00000129845","lncRNA","TTTY1"
"436","ENSG00000130600","lncRNA","H19"
"437","ENSG00000131007","lncRNA","TTTY9B"
"438","ENSG00000131484","lncRNA",NA
"439","ENSG00000131538","lncRNA","TTTY6"
"440","ENSG00000131548","lncRNA","TTTY6B"
"441","ENSG00000132204","lncRNA","LINC00470"
"442","ENSG00000132832","lncRNA",NA
"443","ENSG00000136275","lncRNA","PKD1L1-AS1"
"444","ENSG00000136315","lncRNA","RNASE2CP"
"445","ENSG00000137808","lncRNA",NA
"446","ENSG00000145063","lncRNA",NA
"447","ENSG00000145075","lncRNA",NA
"448","ENSG00000146521","lncRNA","LINC01558"
"449","ENSG00000146666","lncRNA","LINC00525"
"450","ENSG00000147753","lncRNA","TTTY7"
"451","ENSG00000147761","lncRNA","TTTY7B"
"452","ENSG00000149443","lncRNA","SCP2D1-AS1"
"453","ENSG00000149656","lncRNA","LINC00266-1"
"454","ENSG00000151303","lncRNA",NA
"455","ENSG00000152931","lncRNA","PART1"
"456","ENSG00000153363","lncRNA","LINC00467"
